S.no,Title,Authors,Year,Snippets,DOI,ArticleURL
13,Economics of the Limulus/Tachypleus Amebocyte Lysate (LAL/TAL) Industry Relative to the Sustainability of Horseshoe Crabs Worldwide,TJ Novitsky,2022,"… the situation with the Asian horseshoe crab, Tachypleus tridentatus, is entirely different. There the major use of Tachypleus is for human consumption. If the horseshoe crab is used at all …",10.1007/978-3-030-82315-3_20,https://link.springer.com/chapter/10.1007/978-3-030-82315-3_20
14,A new endotoxin sensitive factor associated with hemolymph coagulation system of horseshoe crab (Limulidae),"M Ohki, T Nakamura, T Morita, S Iwanaga",1980,… The amebocyte lysate from Japanese horseshoe crabs (Tachypleus tridentatus) was … Lyophilized powder of Limulus polyphemus amebocyte lysate was a generous gift from Dr Jack L&n…,,https://core.ac.uk/download/pdf/82389036.pdf
15,Process for the Preparation of Amoebocyte Lysate from Haemolymph of the Horseshoe Crab,"I Noraznawati, T Mariam, AS Ahmed…",2014,… limulus amoebocyte lysate substantially free from factor G which comprises bringing limulus amoebocyte lysate … rotundicauda Latreilli and Tachypleus tridentatus Leach. The healthy …,,https://patents.google.com/patent/US20140147903A1/en
16,'Delayed' interference effects of air exposure on adult Chinese horseshoe crab Tachypleus tridentatus,"M Yan, F Miao, X Zhang, H Guo, Y Gul, Q Li…",2019,"… Tachypleus amebocyte lysate (TAL), which is extracted from the haemolymph of Chinese horseshoe crab, and limulus amebocyte lysate … haemolymph of American horseshoe crab, are …",10.1111/are.14320,https://onlinelibrary.wiley.com/doi/abs/10.1111/are.14320
17,Detection of endotoxins with limulus amoebocyte lysates of Limulus polyphemus and Tachypleustridentatus origin,"P Huovinen, L Nummela, J Koppinen",1990,"… with four limulus amoebocyte lysate (LAL) reagents. Two of the lysates were of Limulus polyphemus … polyphernus and two from Tachypleus tridentatus, a Far Eastern horseshoe crab. …",,https://www.sciencedirect.com/science/article/pii/0167701290900104
18,Molecular mechanism of hemolymph clotting system in Limulus,"S Iwanaga, T Miyata, F Tokunaga, T Muta",1992,… Limulus (horseshoe crab) hemolymph is known to be very sensitive to … Studies on Limulus amebocyte lysate … and cellular localization in horseshoe crab (Tachypleus tridentatus) …,,https://www.sciencedirect.com/science/article/pii/004938489290124S
19,"A collection of horseshoe crabs (Chelicerata: Xiphosura) in the National Museum, Prague (Czech Republic) and a review of their immunological importance","P Dolejš, K Vaňousová",2015,"… This gelation reaction of Limulus amebocyte lysate has been … rotundicauda and Tachypleus tridentatus (Xiphosura, … on mortality of the horseshoe crab, Limulus polyphemus, in …",,https://arages.de/aramit/pdf/Heft_49/AM49_01_09.pdf
20,"Preliminary Characterization of Hemocyte and Immunity of Asian Horseshoe Crabs, Tachypleus tridentatus, and Carcinoscorpius rotundicauda in Captivity","X Xie, KY Kwan, J Zhong, M Xie, G Ye…",2022,… horseshoe crab populations. Owing to the low willingness of Tachypleus amebocyte lysate (… There are only four extant species of horseshoe crab: the Atlantic horseshoe crab Limulus …,10.1007/978-3-030-82315-3_11,https://link.springer.com/chapter/10.1007/978-3-030-82315-3_11
21,Direct virus inactivation of tachyplesin I and its isopeptides from horseshoe crab hemocytes,"T Murakami, M Niwa, F Tokunaga, T Miyata…",1991,… the horseshoe crab (Tachypleus tridentatus and Limulus … Limulus amoebocyte lysate in a similar manner to that previously reported of the anti-LPS factor of Limulus amoebo cyte lysate […,,https://karger.com/che/article-abstract/37/5/327/65063
22,A Clotting Enzyme Associated with the Hemolymph Coagulation System of Horseshoe Crab (Tachypleus tridentatus): Its Purification and Characterization,"S Nakamura, T MORITA…",1982,"… from the amebocyte lysate of Tachypleus tridentatus and to … the amebocyte lysate of American horseshoe crab {Limulus … endotoxin-induced gelation of the lysate. However, the yield …",,https://academic.oup.com/jb/article-abstract/92/3/781/814146
23,"Blood collection from the American horseshoe crab, Limulus polyphemus","P Armstrong, M Conrad",2008,"… This extract is similar to the commercially available product, Limulus amebocyte lysate or LAL, which is used to assay for the presence of lipopolysaccharide 13 . The protease cascade …",,https://www.jove.com/t/958/blood-collection-from-the-american-horseshoe-crab-limulus-polyphemus
24,"Antilipopolysaccharide factor from horseshoe crab, Tachypleus tridentatus, inhibits lipopolysaccharide activation of cultured human endothelial cells","CE Desch, P O'Hara, JM Harlan",1989,… lysate of the Japanese and American horseshoe crabs (Tachypleus tridentatus and Limulus … Anti-LPS factor has previously been reported to inhibit LPS-mediated activation of limulus …,10.1128/iai.57.5.1612-1614.1989,https://journals.asm.org/doi/abs/10.1128/iai.57.5.1612-1614.1989
25,"Reaction of Bacillus subtilis products with amebocyte lysates of the Japanese horseshoe crab, Tachypleus tridentatus","DS Hodes, EJ Bottone, A Hass…",1988,"… A combination of a chromogenic peptide-p-nitroanilide and an amebocyte lysate of the Japanese horseshoe crab, Tachypleus tridentatus (CS-TAL), gives a positive reaction with …",10.1128/jcm.26.5.890-892.1988,https://journals.asm.org/doi/abs/10.1128/jcm.26.5.890-892.1988
26,Effects of blood extraction on the mortality of Malaysian horseshoe crabs (Tachypleus gigas),"BA John, KCA Jalal, K Zaleha, P Armstrong…",2011,… This study investigated the mortality of the Malaysian horseshoe crab (Tachypleus gigas) … horseshoe crab Tachypleus tridentatus is identified as the Tachypleus Amebocyte Lysate (TAL) …,10.1080/10236244.2011.642505,https://www.tandfonline.com/doi/abs/10.1080/10236244.2011.642505
27,Effects of copper supplement on the immune function and blood-chemistry in adult Chinese horseshoe crab Tachypleus tridentatus,"Z Xu, Y Wang, Y Gul, Q Li, J Song, M Hu",2020,"… , Limulus polyphemus, Tachypleus tridentatus, Tachypleus … Tachypleus amebocyte lysate (TAL) is the only industrial chain formed by the development and utilization of horseshoe crab …",,https://www.sciencedirect.com/science/article/pii/S0044848619319842
28,Biomedical applications of Limulus amebocyte lysate,TJ Novitsky,2009,"… horseshoe crab, Limulus polyphemus, and the Asian horseshoe crab, Tachypleus tridentatus … LAL can also be obtained from the two other species, Tachypleus gigas and …",10.1007/978-0-387-89959-6_20,https://link.springer.com/chapter/10.1007/978-0-387-89959-6_20
29,Primary structures and functions of anti-lipopolysaccharide factor and tachyplesin peptide found in horseshoe crab hemocytes,"T Muta, T Nakamura, H Furunaka, F Tokunaga…",1990,… In our continued study of the limulus clotting system. we … Horseshoe crab (Tacbypleus tridentatus and Lillulus polyphemus) … Tachypleus tridentatus: Its hemolytic activity on red blood cell …,10.1007/978-1-4757-5140-6_24,https://link.springer.com/chapter/10.1007/978-1-4757-5140-6_24
30,Comparative transcriptome profiling of horseshoe crab Tachypleus gigas hemocytes in response to lipopolysaccharides,"ME Sarmiento, KL Chin, NS Lau, I Aziah…",2021,"… To help understand the genetic mechanisms involved, the present study utilised the Illumina HiSeq platform to perform transcriptomic analysis of hemocytes from the HSC, Tachypleus …",,https://www.sciencedirect.com/science/article/pii/S1050464821002230
31,Production of horseshoe crab amebocytes in vitro,"DG Gibson III, JB Hilly",1992,"… crabs, especially Limulus polyphemus. In contrast to all previous attempts to isolate and culture amebocytes from Limulus for the production of pyrogen-sensitive lysate, an effective …",,https://patents.google.com/patent/US5082782/en
32,Biomolecules of the Horseshoe Crab's Hemolymph: Components of an Ancient Defensive Mechanism and Its Impact on the Pharmaceutical and Biomedical …,"M Ashrafuzzaman, MH Razu, NN Showva…",2022,… Limulus amebocyte lysate (LAL) is an integral feature of the horseshoe crab’s innate … the hemolymph coagulation system of horseshoe crab (Tachypleus tridentatus): its purification and …,,https://www.hindawi.com/journals/cmi/2022/3381162/
33,Morphology of the granular hemocytes of the Japanese horseshoe crabTachypleus tridentatus and immunocytochemical localization of clotting factors and …,"Y Toh, A Mizutani, F Tokunaga, T Muta…",1991,"… The blood of the American horseshoe crab Limulus polyphemus contains two types of cells, … (coagulogen) from amoebocyte lysate of Japanese horseshoe crab (Tachypleus tridentatus): …",10.1007/BF00678720,https://link.springer.com/article/10.1007/BF00678720
34,New types of clotting factors and defense molecules found in horseshoe crab hemolymph: their structures and functions,"S Iwanaga, S Kawabata, T Muta",1998,"… molecules found in the Japanese horseshoe crab (Tachypleus tridentatus) are reviewed. … Limulus a2M shows many of the typical characteristics of mammalian a-2Ms, including the …",,https://academic.oup.com/jb/article-abstract/123/1/1/829977
35,Characterization of amebocyte coagulogen from the horseshoe crab (Limuluspolyphemus),"MW Mosesson, C Wolfenstein-Todel, J Levin…",1979,"… Circulating in the hemolymph of the horseshoe crab (Limulus … from Tachypleus tridentatus (lo-12), the horseshoe crab of a … of tubes that contained amebocyte lysate prepared by the …",,https://www.sciencedirect.com/science/article/pii/0049384879901312
36,"Amebocyte Production Begins at Stage 18 During Embryogenesis in Limulus polyphemus, the American Horseshoe Crab","Y Coursey, N Ahmad, BM McGee…",2003,"… of Limulus amebocyte lysate and spurred an intensive study of the amebocytes. However, … Normal embryonic development of Limulus polyphemus compared with Tachypleus tridentatus…",10.2307/1543492,https://www.journals.uchicago.edu/doi/abs/10.2307/1543492
37,Endotoxin Detection – from Limulus Amebocyte Lysate to Recombinant Factor C,"JL Ding, B Ho",2010,"… The American horseshoe crab, Limulus polyphemus amoebocyte lysate (LAL) is well known … embryonic development of Limulus polyphemus compared with Tachypleus tridentatus. In …",10.1007/978-90-481-9078-2_9,https://link.springer.com/chapter/10.1007/978-90-481-9078-2_9
38,Horseshoe crabs in modern day biotechnological applications,"AP Das, B Bal, PS Mahapatra",2015,… horseshoe crab Tachypleus tridentatus as data deficient. The government of India has included the horseshoe crab … mononuclear cells and the Limulus amebocyte lysate in an amount …,10.1007/978-3-319-19542-1_26,https://link.springer.com/chapter/10.1007/978-3-319-19542-1_26
39,"B10 Limulus Amebocyte Lysate Discovery, Mechanism, and Application",KL Williams,2007,"… (26, 27) demonstrated that including coagulogen with the activated proclotting enzyme obtained from the blood of Tachypleus tridentatus, the Japanese horseshoe crab, produced a gel …",,https://books.google.com/books?hl=en&lr=&id=7q7im7Rjvu4C&oi=fnd&pg=PA191&dq=horseshoecrab+tachypleus+limulus+tridentatus+amebocyte+lysate&ots=W2yvkCO-QX&sig=kHtKHsEog0UW4C_SoZ8bij1ySvk
40,Biological activities of anti-LPS factor and LPS binding peptide from horseshoe crab amoebocytes,"M Niwa, HE Hua, S Iwanaga, T Morita, T Miyata…",1990,… Amoebocytes of horseshoe crabs (such as Limulus polyphemus and Tachypleus tridentatus… from the amoebocyte lysate of Tachypleus tridentatus (Japanese horseshoe crab) according …,10.1007/978-1-4757-5140-6_23,https://link.springer.com/chapter/10.1007/978-1-4757-5140-6_23
41,The long-term effect of bleeding for limulus amebocyte lysate on annual survival and recapture of tagged horseshoe crabs,"DR Smith, JJ Newhard, CP McGowan…",2020,"… data from the US Fish and Wildlife horseshoe crab tagging database to estimate the … horseshoe crab (Limulus polyphemus), Endangered for the Asian species Tachypleus tridentatus, …",10.3389/fmars.2020.607668,https://www.frontiersin.org/articles/10.3389/fmars.2020.607668/full
42,Hemolymph Proteomics and Gut Microbiota of Horseshoe Crabs Tachypleus tridentatus and Carcinoscorpius rotundicauda,"Z Qu, TCN Leung, W Nong, HY Yip, IHT Lee…",2020,"… only four extant horseshoe crab species, including Limulus … , Tachypleus gigas, and Tachypleus tridentatus distributed in … The Limulus amebocyte lysate (LAL) test is an in vitro test that …",10.3389/fmars.2020.579706,https://www.frontiersin.org/articles/10.3389/fmars.2020.579706/full
43,"Characterization, protein modeling, and molecular docking of factor C from Indonesian horseshoe crab (Tachypleus gigas)","AZ Mustopa, AF Izaki, S Suharsono, F Fatimah…",2023,… Limulus amebocyte lysate (LAL) test is considered as the most common endotoxin test. The … tridentatus is greenish brown. This study aimed to produce amebocyte lysate from T. gigas …,10.1186/s43141-023-00496-8,https://link.springer.com/article/10.1186/s43141-023-00496-8
44,Horseshoe crab amebocyte lysate factor G subunit A,"S Iwanaga, T Muta, N Seki, T Oda",1998,… This invention relates to a polypeptide derived from limulus (horseshoe crab) amebocytes shown by an amino acid sequence of (1→3)-β-D-glucan sensitive factor (hereinafter …,,https://patents.google.com/patent/US5795962A/en
45,Lipopolysaccharide-binding proteins of Limulus amebocyte lysate,"RI Roth, PS Tobias",1993,"… (28) of the Japanese horseshoe crab Tachypleus tridentatus, an endotoxin-binding protein … lysates prepared from amebocytes. The endotoxin-binding protein isolated from amebocyte …",10.1128/iai.61.3.1033-1039.1993,https://journals.asm.org/doi/abs/10.1128/iai.61.3.1033-1039.1993
46,"THE EFFECTS OF β1,3-GLUCANS ON BLOOD COAGULATION AND AMEBOCYTE RELEASE IN THE HORSESHOE CRAB, LIMULUS POLYPHEMUS","K Soderhall, J Levin, PB Armstrong",1985,"… of amebocyte lysates, the response is ofquestionable … following exposure of Limulus amebocyte lysates to high … the reaction between CMPS and horseshoe crab lysate may be complex. …",10.2307/1541308,https://www.journals.uchicago.edu/doi/abs/10.2307/1541308
47,Report on the symposium on biomedical applications of Limulus polyphemus (horseshoe crab),E Cohen,1979,"… of bacterial endotoxin by Limulidae amebocyte lysate, primarily Limulus amebocyte lysate (LAL)and (b… Horseshoe Crab (Tachypleus tridentatus) - S. Shimizu and co-workers from Dr. M. …",,https://www.sciencedirect.com/science/article/pii/S0145305X79800324
48,Post-translational protein deimination signatures and extracellular vesicles (EVs) in the Atlantic horseshoe crab (Limulus polyphemus),"TJ Bowden, I Kraev, S Lange",2020,"… (Carcinoscorpius rotundicauda) and tri-spine horseshoe crab (Tachypleus tridentatus). A search was also conducted against a common contaminant database, containing sequences …",,https://www.sciencedirect.com/science/article/pii/S0145305X20301671
49,"Amebocyte lysate Asian horseshoe crab for bacterial endotoxin test from the estuary waters of Banyuasin, South Sumatra","AZ Mustopa, F Fatimah, F Fauziyah, NP Sari…",2023,"… .7/1999, the AHC species Tachypleus tridentatus, Tachypleus gigas, and Carcinocsorpius … and is suitable for horseshoe crab habitat [4–7]. The horseshoe crab has many benefits for …",,https://pubs.aip.org/aip/acp/article/2913/1/060012/2931928
50,Immunocompetent molecules and their response network in horseshoe crabs,S Kawabata,2010,"… to hemocyte lysate, Limulus amoebocyte lysate (LAL), for … the current knowledge of horseshoe crab innate immunity at the … of the Japanese horseshoe crab Tachypleus tridentatus and …",10.1007/978-1-4419-8059-5,https://link.springer.com/content/pdf/10.1007/978-1-4419-8059-5.pdf#page=144
51,Development of molecular resources for the Chinese horseshoe crab Tachypleus tridentatus,"H Li, Y Xia, Y Rao, S Liu, J Zhang, L Cai",2015,… Biomedical companies bleed horseshoe crabs to extract Tachypleus Amebocyte Lysate (TAL) for pathogenic endotoxin detection in in jectable and implantable medical devices for …,,https://www.int-res.com/abstracts/ab/v24/n1/p17-24/
52,Hemolymph proteins: An overview across marine arthropods and molluscs,"E Gianazza, I Eberini, L Palazzolo, I Miller",2021,"… factories (Limulus or Tachypleus for amebocyte lysates, and … them, Limulus polyphemus and Tachypleus tridentatus, with … their common names: Atlantic vs Japanese horseshoe crab. …",,https://www.sciencedirect.com/science/article/pii/S1874391921001937
53,Reducing post-bleeding mortality of horseshoe crabs (Limulus polyphemus) used in the biomedical industry,L Hurton,2003,"… horseshoe crab serum supplementation was the best candidate for future medium optimization for Limulus amebocyte … that led to the first formulation of Limulus Amebocyte Lysate (LAL), …",,https://vtechworks.lib.vt.edu/handle/10919/36231
54,Structure‐function relationships of tachyplesins and their analogues,"S Iwanaga, T Muta, T Shigenaga, N Seki…",2007,"… In the horseshoe crab (Limulus), this defence system is … of the Japanese horseshoe crab (Tachypleus tridentatus) … hemocytes of the Japanese horseshoe crab Tuchypleus tridentatus: …",10.1002/9780470514658.ch10,https://onlinelibrary.wiley.com/doi/abs/10.1002/9780470514658.ch10
55,Effect of prolonged captivity on the hemolymph profile of Tachypleus gigas using the various anticoagulant formulations,"HI Sheikh, BA John, SJA Ichwan…",2021,"… the horseshoe crab, Limulus/Tachypleus Amebocyte Lysate (… tridentatus due to the complete draining of its blood. Finally, … amebocyte lysate produced from the captive horseshoe crab. …",,https://www.sciencedirect.com/science/article/pii/S2352513421001769
56,Crustacean immunity,"K Söderhäll, L Cerenius",1992,"Crustaceans have efficient means to defend themselves against most potential pathogens. Their hemocytes are crucial in these immune reactions and are capable of phagocytosis, …",,https://www.sciencedirect.com/science/article/pii/095980309290053Z
57,Effect of prolonged captivity on the hemolymph profile of Tachypleus gigas,"B Akbar John, HI Sheikh, JAI Solachuddin…",2020,… culture medium for primary culture of Limulus polyphemus amebocytes. In Vitro Cellular &… of health status in juvenile Chinese horseshoe crab Tachypleus tridentatus (Xiphosura) under …,10.1101/2020.04.24.059816.abstract,https://www.biorxiv.org/content/10.1101/2020.04.24.059816.abstract
58,Horseshoe Crab–A Valuable Marine Creature,"A Chatterji, N Ismail",,"… of the horseshoe crab worldwide. It is interesting to note that among these four species, Limulus polyphemus and Tachypleus tridentatus … marketing of Limulus Amoebocyte Lysate as an …",,https://horseshoecrab.org/press/2009/01/horseshoearticle.pdf
59,Assay of Endotoxin by Limulus Amebocyte Lysate,"PA Ketchum, TJ Novitsky",2000,… amebocytes release proteins into their surroundings by exocytosis. The small granules of Limulus amebocytes … The large granules contain the Limulus anti-lipopolysaccharide factor (…,10.1385/1-59259-216-3:3,https://link.springer.com/protocol/10.1385/1-59259-216-3:3
60,Horseshoe crab amebocyte lysate factor G activation inhibitor,"S Tanaka, J Aketagawa, M Ohki, S Takahashi…",1995,"… horseshoe crab survive throughout the world and Limulus polyphemus, Tachypleus tridentatus, Tachypleus … Limulus Test"" reagents comprising the amebocyte lysate of L. Polyphemus …",,https://patents.google.com/patent/US5474984A/en
61,Chromogenic substrates for horseshoe crab clotting enzyme,"S Iwanaga, T Morita, T Harada, S Nakamura…",1978,"… , the hemocyte lysates prepared from Tachypleus tridentatus and Limulus polyphemus, and … coagulogen) from amoebocyte lysate of Japanese horseshoe crab (Tachypleus tridentatusj. …",,https://karger.com/Article/Abstract/214260
62,Purification of Limulus polyphemus proclotting enzyme.,"RI Roth, J Levin",1992,"… Clotting enzyme from horseshoe crab amebocyte lysate is the protease that activates … horseshoe crab (Limulus polyphemus) and the Japanese horseshoe crab (Tachypleus tridentatus), …",,https://www.sciencedirect.com/science/article/pii/S0021925818359519
63,International Horseshoe Crab Conservation and Research Efforts: 2007-2020,"JT Tanacredi, ML Botton, PKS Shin, Y Iwasaki…",2022,"… led to the development of Limulus amoebocyte lysate (LAL), a … Horseshoe crab hemolymph was then demonstrated to … of the Japanese horseshoe crab Tachypleus tridentatus and …",,https://www.researchgate.net/profile/Xiaoyong-Xie/publication/359230071_Preliminary_Characterization_of_Hemocyte_and_Immunity_of_Asian_Horseshoe_Crabs_Tachypleus_tridentatus_and_Carcinoscorpius_rotundicauda_in_Captivity/links/63e996e66425237563ac4688/Preliminary-Characterization-of-Hemocyte-and-Immunity-of-Asian-Horseshoe-Crabs-Tachypleus-tridentatus-and-Carcinoscorpius-rotundicauda-in-Captivity.pdf
64,Plasma (1→ 3)‐β‐D‐glucan assay and immunohistochemical staining of (1→ 3)‐β‐D‐glucan in the fungal cell walls using a novel horseshoe crab protein (T‐GBP) …,"H Tamura, S Tanaka, T Ikeda…",1997,"… from the amebocyte lysate of the Japanese horseshoe crab, Tachypleus tridentatus. This … a minute amount of endotoxin induces coagulation of Limulus amebocyte lysate in vitro (1). …",10.1002/(SICI)1098-2825(1997)11:2%3C104::AID-JCLA6%3E3.0.CO;2-B,https://onlinelibrary.wiley.com/doi/abs/10.1002/(SICI)1098-2825(1997)11:2%3C104::AID-JCLA6%3E3.0.CO;2-B
65,"The Physiological Effects of Age and Temperature on Blood Chemistry, Metabolism, and Mortality of Harvested Horseshoe Crabs (Limulus polyphemus)",KL Litzenberg,2023,"… Horseshoe crab metabolic pathways affected by water temperature………………57 3.4.4.1 … hemolymph) of HSCs can be extracted to create Limulus Amoebocyte Lysate (LAL), which …",,https://search.proquest.com/openview/b6d07280dc01a527638cf7a1e0128855/1?pq-origsite=gscholar&cbl=18750&diss=y
66,The role of amebocytes in the blood coagulation mechanism of the horseshoe crab Limulus polyphemus,J Levin,1985,,,
67,"Chemical Attractants in Horseshoe Crab, Limulus polyphemus, Eggs: The Potential for an Artificial Bait","KM Ferrari, NM Targett",2003,"… to regulate osmotic pressure in the perivitelline fluid of Tachypleus tridentatus (Sugita, 1988). In our study, glycoproteins were identified in Limulus egg extract through SDS-PAGE of …",10.1023/A:1022698431776,https://link.springer.com/article/10.1023/A:1022698431776
68,Identification of cost-effective measures to improve holding conditions and husbandry practices for the horseshoe crab Limulus polyphemus,"J Thompson, AA Ben Ahmeid, C Pickett, D Neil",2011,"… The American or Atlantic Horseshoe crab (HSC), Limulus … three other species: Tachypleus tridentatus, Tachypleus gigas and … Harvesting of Limulus amoebocyte lysate involves drawing …",,https://eprints.gla.ac.uk/81391/1/81391.pdf
69,"A cysteine protease inhibitor stored in the large granules of horseshoe crab hemocytes: purification, characterization, cDNA cloning and tissue localization","KL Agarwala, S Kawabata, M Hirata…",1996,"… A cysteine protease inhibitor with an apparent MT = 12,600, designated limulus (L)-cystatin, was isolated from hemocyte lysates of the Japanese horseshoe crab (Tachypleus tridentatus…",,https://academic.oup.com/jb/article-abstract/119/1/85/794237
70,Global conservation of Tachypleus tridentatus: present status and recommendations,"J Zhu, Z Wu, B Feng, S Deng, W Zhen…",2020,"… The Chinese horseshoe crab (Tachypleus tridentatus) is the … , Tachypleus amebocyte lysate. The geographic distribution of T. … 鲎(Limulus polyphemus)和 亚洲地区的中华鲎(Tachypleus …",,https://www.biodiversity-science.net/EN/abstract/abstract60500.shtml
71,"Characterization, protein modeling",R Rozirwan,,"… Abstract Background Horseshoe crab (Tachypleus gigas) amebocytes are useful … color, whereas T tridentatus is greenish brown. This study aimed to produce amebocyte lysate from T. …",,https://repository.unsri.ac.id/104931/1/Turnitin23_Characterization%2C%20protein%20modeling.pdf
72,Application of cell-free hemolymph of horseshoe crab in antimicrobial drug screening,"R Du, B Ho, J Ling Ding",2011,… contribution to mankind is the extensive application of the limulus amebocyte lysate (LAL) in the … of the Japanese horseshoe crab Tachypleus tridentatus. EMBO J 1999; 18: 2313-22. …,,https://www.ingentaconnect.com/content/ben/cpd/2011/00000017/00000013/art00003
73,"A novel big defensin identified in horseshoe crab hemocytes: isolation, amino acid sequence, and antibacterial activity","T Saito, S Kawabata, T Shigenaga…",1995,… Hemocytes of the horseshoe crab (limulus) contain a family of … tridentatus hemocyte debris was first fractionated on a … of the Japanese horseshoe crab Tachypleus tridentatus and …,,https://academic.oup.com/jb/article-abstract/117/5/1131/811018
74,"Sadaaki Iwanaga: discovery of the lipopolysaccharide- and β-1,3-d-glucan-mediated proteolytic cascade and unique proteins in invertebrate immunity","S Kawabata, T Muta",2010,"… defense system of the horseshoe crab, with an emphasis on … four species—Limulus polyphemus, Tachypleus tridentatus, T… to haemocyte lysate, named Limulus amebocyte lysate …",,https://academic.oup.com/jb/article-abstract/147/5/611/1004775
